rank,name,team,position,bye
1,Jahmyr Gibbs,DET,RB,5
2,Bijan Robinson,ATL,RB,5
3,Puka Nacua,LAR,WR,6
4,Ja'Marr Chase,CIN,WR,10
5,Jaxon Smith-Njigba,SEA,WR,8
6,Christian McCaffrey,SF,RB,9
7,Jonathan Taylor,IND,RB,11
8,Amon-Ra St. Brown,DET,WR,5
9,CeeDee Lamb,DAL,WR,7
10,De'Von Achane,MIA,RB,6
11,Justin Jefferson,MIN,WR,6
12,James Cook III,BUF,RB,7
13,Saquon Barkley,PHI,RB,9
14,Ashton Jeanty,LV,RB,8
15,Jeremiyah Love,ARI,RB,8
16,Drake London,ATL,WR,5
17,Trey McBride,ARI,TE,8
18,Derrick Henry,BAL,RB,7
19,Josh Allen,BUF,QB,7
20,Rashee Rice,KC,WR,10
21,Brock Bowers,LV,TE,8
22,Kenneth Walker III,KC,RB,10
23,Chase Brown,CIN,RB,10
24,Omarion Hampton,LAC,RB,12
25,A.J. Brown,NE,WR,14
26,Nico Collins,HOU,WR,6
27,George Pickens,DAL,WR,7
28,Josh Jacobs,GB,RB,5
29,Breece Hall,NYJ,RB,12
30,Chris Olave,NO,WR,11
31,Garrett Wilson,NYJ,WR,12
32,Malik Nabers,NYG,WR,11
33,Javonte Williams,DAL,RB,7
34,Lamar Jackson,BAL,QB,7
35,DeVonta Smith,PHI,WR,9
36,Tetairoa McMillan,CAR,WR,14
37,Zay Flowers,BAL,WR,7
38,Kyren Williams,LAR,RB,6
39,Cam Skattebo,NYG,RB,11
40,Emeka Egbuka,TB,WR,9
41,Colston Loveland,CHI,TE,5
42,Tyler Warren,IND,TE,11
43,Drake Maye,NE,QB,14
44,Davante Adams,LAR,WR,6
45,Travis Etienne Jr.,NO,RB,11
46,Jayden Daniels,WSH,QB,12
47,Ladd McConkey,LAC,WR,12
48,Jalen Hurts,PHI,QB,9
49,Quinshon Judkins,CLE,RB,9
50,Bucky Irving,TB,RB,9
51,Tee Higgins,CIN,WR,10
52,Joe Burrow,CIN,QB,10
53,Jaylen Waddle,DEN,WR,12
54,Terry McLaurin,WSH,WR,12
55,Kyle Pitts Sr.,ATL,TE,5
56,Sam LaPorta,DET,TE,5
57,Jameson Williams,DET,WR,5
58,Carnell Tate,TEN,WR,10
59,DJ Moore,BUF,WR,7
60,D'Andre Swift,CHI,RB,5
61,Rome Odunze,CHI,WR,5
62,TreVeyon Henderson,NE,RB,14
63,David Montgomery,HOU,RB,6
64,Jaxson Dart,NYG,QB,11
65,Harold Fannin Jr.,CLE,TE,9
66,Luther Burden III,CHI,WR,5
67,Bhayshul Tuten,JAX,RB,8
68,Matthew Stafford,LAR,QB,6
69,Jadarian Price,SEA,RB,8
70,Brandon Aubrey,DAL,K,7
71,Courtland Sutton,DEN,WR,12
72,Houston Texans,HOU,DST,6
73,Dak Prescott,DAL,QB,7
74,DK Metcalf,PIT,WR,7
75,Bo Nix,DEN,QB,12
76,Tony Pollard,TEN,RB,10
77,Michael Pittman Jr.,PIT,WR,7
78,Marvin Harrison Jr.,ARI,WR,8
79,Caleb Williams,CHI,QB,5
80,Denver Broncos,DEN,DST,12
81,Trevor Lawrence,JAX,QB,8
82,Mike Evans,SF,WR,9
83,George Kittle,SF,TE,9
84,Alec Pierce,IND,WR,11
85,Los Angeles Rams,LAR,DST,6
86,Jordyn Tyson,NO,WR,11
87,Tucker Kraft,GB,TE,5
88,Travis Kelce,KC,TE,10
89,Dallas Goedert,PHI,TE,9
90,Parker Washington,JAX,WR,8
91,Christian Watson,GB,WR,5
92,Jaylen Warren,PIT,RB,7
93,Cameron Dicker,LAC,K,12
94,Brock Purdy,SF,QB,9
95,Brian Thomas Jr.,JAX,WR,8
96,Seattle Seahawks,SEA,DST,8
97,Michael Wilson,ARI,WR,8
98,Matthew Golden,GB,WR,5
99,Patrick Mahomes,KC,QB,10
100,Justin Herbert,LAC,QB,12
101,Rico Dowdle,PIT,RB,7
102,Rhamondre Stevenson,NE,RB,14
103,Jake Ferguson,DAL,TE,7
104,Pittsburgh Steelers,PIT,DST,7
105,Jason Myers,SEA,K,8
106,Chuba Hubbard,CAR,RB,14
107,Jakobi Meyers,JAX,WR,8
108,Travis Hunter,JAX,WR,8
